id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
mesopotamia-neo-assyrian	Neo-Assyrian Empire	[]	-912	0	0	-609	0	0	912 BCE	609 BCE (fall of Harran; Assyrian state ends)	gregorian	5	historical_period	manual	The most powerful state of the ancient Near East, stretching from Egypt to Iran; Assyrian kings like Tiglath-Pileser III, Sargon II, and Ashurbanipal created the first true empire with systematic deportation, garrison cities, and a royal library at Nineveh.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-neo-babylonian	Neo-Babylonian Empire	[]	-626	0	0	-539	0	0	626 BCE (Nabopolassar founds new Babylonian dynasty)	539 BCE (Cyrus the Great takes Babylon)	gregorian	0	historical_period	manual	Nebuchadnezzar II destroyed Jerusalem, deported the Jews to Babylon, and rebuilt the city with the Hanging Gardens and Ishtar Gate; the empire lasted less than a century before falling to Persia without a siege.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-achaemenid	Achaemenid Mesopotamia	[]	-539	0	0	-330	0	0	539 BCE (Cyrus the Great)	330 BCE (Alexander defeats Darius III)	gregorian	0	historical_period	manual	Babylon became a wealthy satrapy and sometime capital of the Achaemenid Persian Empire; Cyrus restored exiles and respected local cults, and the city remained a major commercial and cultural centre.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-seleucid	Seleucid Mesopotamia	[]	-312	0	0	-141	0	0	312 BCE (Seleucus I consolidates control)	141 BCE (Parthians capture Seleucia-on-Tigris)	gregorian	0	historical_period	manual	The Seleucid successor state to Alexander's empire controlled Mesopotamia for over 150 years; Seleucia-on-the-Tigris was founded as a new administrative centre and cuneiform scholarship continued into this era.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-parthian	Parthian Mesopotamia	[]	-141	0	0	224	0	0	141 BCE (Mithridates I takes Seleucia)	224 CE (Ardashir I defeats last Parthian king)	gregorian	0	historical_period	manual	The Arsacid Parthian Empire ruled Mesopotamia for three and a half centuries, repelling Roman invasions at Carrhae (53 BCE) and in the second century CE; Ctesiphon on the Tigris became the imperial capital.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-sassanid	Sassanid Mesopotamia	[]	224	0	0	651	0	0	224 CE (Ardashir I founds Sassanid Empire)	651 CE (last Sassanid emperor killed; Arab conquest complete)	gregorian	0	historical_period	manual	The Sassanid Persian Empire made Ctesiphon its capital and competed with Rome and Byzantium for centuries; Mesopotamia was the empire's heartland, an agrarian and commercial centre with a cosmopolitan population.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-early-caliphates	Early Islamic Caliphates	[]	637	0	0	750	0	0	637 CE (Arab forces defeat Sassanids at al-Qadisiyyah)	750 CE (Abbasid revolution)	gregorian	0	historical_period	manual	The Rashidun and Umayyad caliphates rapidly conquered Mesopotamia; Arabic replaced Aramaic in administration, and the new garrison cities of Basra and Kufa became centres of early Islamic scholarship.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-abbasid	Abbasid Caliphate	[]	750	0	0	1258	0	0	750 CE (Abbasid revolution)	1258 CE (Mongol sack of Baghdad)	gregorian	0	historical_period	manual	The Abbasid caliphs built Baghdad in 762 CE, which grew into the world's largest city and the centre of the Islamic Golden Age; mathematics, astronomy, medicine, and philosophy flourished until the catastrophic Mongol invasion.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-mongol	Mongol Iraq / Ilkhanate	[]	1258	0	0	1335	0	0	1258 CE (Hülegü Khan sacks Baghdad)	1335 CE (Ilkhanate fragments)	gregorian	0	historical_period	manual	The Mongol sack of Baghdad in 1258 killed the last Abbasid caliph and devastated the agricultural infrastructure of Iraq; the Ilkhanate eventually converted to Islam and assimilated, before collapsing into competing successor states.	["mesopotamia-history","manual-extraction","no-coords-found"]
mesopotamia-ottoman	Ottoman Iraq	[]	1534	0	0	1918	0	0	1534 CE (Suleiman the Magnificent takes Baghdad)	1918 CE (British occupation complete)	gregorian	0	historical_period	manual	The Ottoman Empire ruled the three vilayets of Mosul, Baghdad, and Basra for nearly four centuries; the region was a frontier zone contested with Safavid Persia and remained economically underdeveloped relative to its ancient past.	["mesopotamia-history","manual-extraction","no-coords-found"]
